Ue,Ve,Uf,Vf
0.011,0.0081,0.0022,0.0057
0.15668294079588094,0.008926882961146246,0.1470115665983082,0.006458981435799823
0.2364795401909213,0.010834489538112408,0.2257757559802508,0.008289913082546365
0.2799362318927033,0.013318162717332981,0.2680075788104432,0.010686470953445328
0.30338984965088395,0.016099970929622166,0.2900062943792071,0.013368730684944747
0.31587977490186014,0.01902736592584409,0.3007663538176509,0.016181761623274348
0.3224152620159058,0.022017203714834798,0.30524328508327314,0.01903957148314728
0.3257813819425685,0.0250248359190846,0.306157914344234,0.02189410648900733
0.32753754419403236,0.028027059036782678,0.30499282848082804,0.024718091562809956
0.3285699134415492,0.03101272788436752,0.3025423289509928,0.02749551333550342
0.3293974664884151,0.03397761064175564,0.2992155438511412,0.03021631922399032
0.33034207222630896,0.03692159591326424,0.2952029863094117,0.03287343798329709
0.33162359407489705,0.039847209708470145,0.2905674458742172,0.035461073662139624
0.33341380563939504,0.04275886761597656,0.28529286858544134,0.037973691082504174
0.3358678016088783,0.04566254746200561,0.27930974626399035,0.04040536958251187
0.3391432885149095,0.04856571115995612,0.2725072060310653,0.0427493434748639
0.3434135687920302,0.051477384060881155,0.2647373852349468,0.044997625441558727
0.3488774716271964,0.05440834581115775,0.25581506574958146,0.0471406520671186
0.35576816360854274,0.05737141115843461,0.24551417005364057,0.049166912442143426
0.3643619701380005,0.06038179483416586,0.23356186430243614,0.05106253353536596
0.3749879891999391,0.06345756427267635,0.21963056038334924,0.05281080016396741
0.3880390682098453,0.06662018981455341,0.20332783327291026,0.054391589847605885
0.4039846266324954,0.06989520665329682,0.18418409350485718,0.055780702756989466
0.42338585665182044,0.07331301069494717,0.16163765422211557,0.056949061641913094
0.4469137915339122,0.07690981022599326,0.13501681833627668,0.057861757868807144
0.4753708688824855,0.08072876528957239,0.10351839618189755,0.058476911023237044
0.5097167099924175,0.08482135157412095,0.06618197217622813,0.05874430459223418
0.5510988633502935,0.08924898793385302,0.021859186663087723,0.05860375836329643
0.5975946947839506,0.09407879938852852,-0.030588213012028923,0.05806849928097491
0.6354657892564212,0.09928559453100454,-0.08875374044637596,0.05749070805919037
0.6645292088385352,0.10477214622103267,-0.1481975324682762,0.056918665956123556
0.6862960639301503,0.110455786012425,-0.20578793515386148,0.05635231576708456
0.7020306966839,0.11626843859280594,-0.2594613128956637,0.05579160085658269
0.7127905943409825,0.12215422520962685,-0.30794659910310684,0.05523646515265963
0.7194598464237492,0.12806745596341618,-0.3505531050163437,0.05468685314128239
0.7227772111779642,0.1339709467595283,-0.3870078242026795,0.0541427098607918
0.723359644939141,0.13983460946624088,-0.4173315867947249,0.053603980896406375
0.7217220356797074,0.145634270605409,-0.4417454442391556,0.05307061237478072
0.718293752844414,0.1513506816861275,-0.46060054207358114,0.0525425509586182
0.7134325223299378,0.15696869051583198,-0.4743262186586503,0.052019743841337146
0.707436062672944,0.16247654721111726,-0.48339209200860284,0.051502138741790146
0.7005518383653436,0.16786532346137162,-0.488280905364633,0.05098968389903592
0.6929852456253879,0.17312842604529793,-0.4894694542415677,0.05048232806716315
