Time,Track Points,Position,Angle,Velocity,Angular Velocity
1742176488.5500486,"{'yellow': (84, 50), 'red': (72, 77)}","[132, 405]",1.9890206563741257,[ 6.97999693 -4.60894228],0.05792490886654675
1742176488.6105917,"{'yellow': (85, 51), 'red': (71, 76)}","[133, 406]",2.0812846487116725,[12.83640668  5.11593885],0.6240278949660281
1742176488.6741788,"{'yellow': (77, 49), 'red': (70, 75)}","[129, 406]",1.8337910584758161,[-12.23367048   4.58795732],-0.7956552099488499
1742176488.7381191,"{'yellow': (83, 50), 'red': (73, 75)}","[130, 406]",1.9513027039072615,[-10.07399483   2.63782265],-0.35452313029838645
1742176488.7970252,"{'yellow': (83, 48), 'red': (73, 75)}","[131, 405]",1.925501978805837,[ 1.35864459 -3.60130565],-0.10320048482236593
1742176488.85853,"{'yellow': (81, 50), 'red': (71, 76)}","[130, 406]",1.9379701606131159,[-3.33655754  1.31456058],-0.09669380864880266
1742176488.9108465,"{'yellow': (85, 49), 'red': (73, 75)}","[132, 406]",2.0032041023654346,[7.35031404 3.49828207],0.3578282320870612
1742176488.975146,"{'yellow': (81, 47), 'red': (70, 75)}","[130, 405]",1.9451299428024806,[-3.31432444 -3.59515728],-0.03654247831124216
1742176489.029742,"{'yellow': (81, 51), 'red': (72, 75)}","[129, 406]",1.9295669970654687,[-12.75768614   1.55558618],-0.2327342070201174
1742176489.0958636,"{'yellow': (84, 49), 'red': (73, 75)}","[130, 406]",1.9710369838288708,[-3.667782    2.69215319],0.08131029380629995
1742176489.1488357,"{'yellow': (84, 49), 'red': (72, 75)}","[131, 406]",2.0032041023654346,[5.87816388 1.47143199],0.3464695155121944
1742176489.2138948,"{'yellow': (81, 49), 'red': (71, 74)}","[130, 405]",1.9513027039072615,[-0.08239445 -4.50726457],0.006867514996780726
1742176489.2786973,"{'yellow': (81, 50), 'red': (73, 76)}","[130, 406]",1.8692952583810758,[-2.33914943  0.79759701],-0.547372504803924
1742176489.3311307,"{'yellow': (80, 49), 'red': (73, 75)}","[129, 406]",1.8337910584758161,[-7.46990861  3.059273  ],-0.7640513898142136
1742176489.3945677,"{'yellow': (84, 50), 'red': (74, 75)}","[131, 406]",1.9513027039072615,[4.65241689 1.41088857],0.11300569057816949
1742176489.4585092,"{'yellow': (84, 49), 'red': (71, 75)}","[131, 406]",2.0344439357957027,[6.69177188 0.98151797],0.7214961022341505
1742176489.51208,"{'yellow': (81, 48), 'red': (71, 75)}","[130, 405]",1.925501978805837,[-1.38782932 -5.14172425],0.00791432096008985
1742176489.5760164,"{'yellow': (82, 49), 'red': (73, 75)}","[130, 405]",1.9040406279065694,[-2.41422258 -5.10995324],-0.31916879117781494
1742176489.6296587,"{'yellow': (82, 51), 'red': (72, 75)}","[130, 406]",1.965587446494658,[-1.56107322  2.68557851],0.13330334773340957
1742176489.6948388,"{'yellow': (85, 48), 'red': (72, 75)}","[131, 405]",2.0195196708056176,[ 4.53237108 -2.24854768],0.5095319454279723
1742176489.7605808,"{'yellow': (80, 49), 'red': (72, 76)}","[130, 405]",1.8588517738455226,[-0.57782803 -3.42658534],-0.4342717847236048
1742176489.815796,"{'yellow': (82, 46), 'red': (72, 75)}","[130, 403]",1.9028557943377822,[ -2.76077591 -14.04994964],-0.3871558392510515
1742176489.868512,"{'yellow': (83, 51), 'red': (72, 78)}","[130, 405]",1.9576720445259248,[-1.53993528 -1.63113203],0.2000446903129673
1742176489.9331312,"{'yellow': (80, 50), 'red': (72, 76)}","[129, 406]",1.8692952583810758,[-6.8294187   8.33753299],-0.3169303796618716
1742176489.9965413,"{'yellow': (83, 50), 'red': (74, 74)}","[130, 406]",1.9295669970654687,[-0.78713346  6.78375238],-0.06066331517774508
1742176490.0586977,"{'yellow': (84, 50), 'red': (73, 74)}","[131, 406]",2.000558605891585,[7.0457756  4.44715413],0.49278843853063287
1742176490.112915,"{'yellow': (81, 47), 'red': (72, 75)}","[130, 405]",1.8817946074004375,[ 0.72377483 -2.69825416],-0.23258245001082786
1742176490.17624,"{'yellow': (82, 49), 'red': (73, 75)}","[130, 405]",1.9040406279065694,[-1.54921554 -3.1457002 ],-0.25260866304503116
1742176490.2390115,"{'yellow': (84, 49), 'red': (72, 76)}","[131, 405]",1.9890206563741257,[ 4.79674057 -1.52808684],0.3812381278872664
1742176490.290013,"{'yellow': (78, 46), 'red': (72, 76)}","[129, 404]",1.7681918866447774,[-6.35356277 -7.15097035],-0.8744256936394212
1742176490.3531656,"{'yellow': (85, 51), 'red': (73, 77)}","[131, 406]",2.0032041023654346,[3.4721249  4.84420673],0.3404539098540728
1742176490.4188457,"{'yellow': (81, 48), 'red': (72, 75)}","[130, 405]",1.892546881191539,[0.81994564 0.85195107],0.07377507339845761
1742176490.4735773,"{'yellow': (83, 50), 'red': (73, 75)}","[131, 405]",1.9513027039072615,[ 3.85088417 -2.15463411],0.11107384370754406
1742176490.5401838,"{'yellow': (82, 49), 'red': (72, 76)}","[131, 405]",1.925501978805837,[ 4.26803019 -0.91950677],0.05683309131723242
1742176490.5944781,"{'yellow': (81, 49), 'red': (72, 76)}","[130, 405]",1.892546881191539,[-3.1796854  -0.45580176],-0.21903312854553217
1742176490.6563501,"{'yellow': (84, 49), 'red': (72, 75)}","[131, 405]",2.0032041023654346,[ 2.06704791 -0.11403508],0.4477677511519307
1742176490.7213883,"{'yellow': (85, 49), 'red': (72, 76)}","[132, 405]",2.0195196708056176,[ 8.75626224 -0.0737426 ],0.5775773376034945
1742176490.7753901,"{'yellow': (82, 49), 'red': (70, 76)}","[131, 405]",1.9890206563741257,[ 2.05547325 -0.05453958],0.23233832738631688
1742176490.8406405,"{'yellow': (81, 48), 'red': (70, 76)}","[129, 405]",1.9451299428024806,[-11.3107063   -0.03996359],-0.11464053986609125
1742176490.8948843,"{'yellow': (83, 49), 'red': (72, 76)}","[129, 405]",1.9576720445259248,[-12.18466111  -0.26309496],-0.11439740450144394
1742176490.95824,"{'yellow': (86, 52), 'red': (71, 77)}","[130, 407]",2.1112158270654806,[-1.65457596 11.06268764],0.8307353452900661
1742176491.022043,"{'yellow': (83, 47), 'red': (69, 75)}","[129, 406]",2.0344439357957027,[-5.17315797  5.43958531],0.39125458312666794
1742176491.0753717,"{'yellow': (78, 49), 'red': (71, 76)}","[126, 406]",1.8244704229335393,[-24.07029762   1.27179942],-1.1763781327203824
1742176491.1396613,"{'yellow': (85, 49), 'red': (74, 77)}","[128, 407]",1.9451299428024806,[-9.30708267  6.97619018],-0.4063270666040586
1742176491.201708,"{'yellow': (86, 48), 'red': (70, 75)}","[129, 406]",2.105751400580993,[3.29529733 1.12434366],0.8717353718957841
1742176491.2550657,"{'yellow': (86, 49), 'red': (68, 76)}","[129, 406]",2.158798930342464,[ 3.71851086 -1.57301   ],1.2306385758753577
1742176491.3179722,"{'yellow': (83, 50), 'red': (66, 76)}","[126, 407]",2.1498705961626277,[-14.4810675   4.9804086],0.778754733815263
1742176491.3737116,"{'yellow': (86, 49), 'red': (66, 75)}","[125, 407]",2.2264919530364327,[-21.79489992   5.42125504],0.9791567754048452
1742176491.4359114,"{'yellow': (84, 48), 'red': (66, 75)}","[123, 406]",2.158798930342464,[-26.2947098   -2.58142852],0.4207087724191123
1742176491.4994001,"{'yellow': (88, 48), 'red': (66, 76)}","[123, 406]",2.2367655641740063,[-20.85539922  -3.6325519 ],0.5857433064176281
1742176491.5520196,"{'yellow': (85, 48), 'red': (65, 76)}","[121, 406]",2.191045812777718,[-26.18949259  -2.12131871],0.35938381384978746
1742176491.6170082,"{'yellow': (88, 48), 'red': (65, 76)}","[120, 406]",2.2584675828336263,[-26.46345141  -1.50560505],0.5294176011636664
1742176491.678957,"{'yellow': (92, 50), 'red': (65, 76)}","[121, 407]",2.3750601762140158,[-14.40559888   4.30720265],1.0867583150201197
1742176491.7327547,"{'yellow': (89, 46), 'red': (65, 75)}","[121, 405]",2.2621332555643585,[-8.03450763 -6.77932183],0.2847540402636276
1742176491.7970445,"{'yellow': (86, 48), 'red': (66, 76)}","[120, 405]",2.191045812777718,[-11.29241355  -8.12690602],-0.4312527246843663
1742176491.8588223,"{'yellow': (98, 45), 'red': (69, 76)}","[126, 403]",2.3228734943140976,[ 24.17648628 -16.01826993],0.3471805469532163
1742176491.9189298,"{'yellow': (93, 44), 'red': (67, 77)}","[129, 401]",2.238102461773251,[ 44.92607895 -25.74212875],0.0175335634566674
1742176491.9723759,"{'yellow': (103, 48), 'red': (70, 78)}","[138, 402]",2.403777593469328,[ 91.83941046 -15.84150178],0.7975599771837558
1742176492.0370786,"{'yellow': (104, 47), 'red': (68, 77)}","[147, 402]",2.44685437739309,[124.31345213  -8.49811187],1.0424150397285565
1742176492.1011584,"{'yellow': (103, 44), 'red': (67, 78)}","[155, 401]",2.384758148031105,[141.45071018 -11.87296107],0.39044028969077654
1742176492.1547637,"{'yellow': (91, 47), 'red': (67, 80)}","[157, 402]",2.1995926132103296,[126.66520921  -4.68919093],-0.9522863175472548
1742176492.21753,"{'yellow': (93, 47), 'red': (71, 81)}","[162, 404]",2.1451011569695986,[115.53648639   9.99925044],-1.2070112660777679
1742176492.2827294,"{'yellow': (93, 48), 'red': (75, 80)}","[169, 406]",2.0831857871056343,[125.06380385  20.91311304],-1.1513286895081414
